site_key,site_name,COMMON NAME,SCIENTIFIC NAME,checklists,individuals
amelia,Amelia,Long-tailed Jaeger,Stercorarius longicaudus,0,0
amelia,Amelia,Long-tailed/Parasitic Jaeger,Stercorarius longicaudus/parasiticus,0,0
amelia,Amelia,Louisiana Waterthrush,Parkesia motacilla,26,42
amelia,Amelia,Louisiana/Northern Waterthrush,Parkesia motacilla/noveboracensis,0,0
amelia,Amelia,Lucy's Warbler,Leiothlypis luciae,0,0
amelia,Amelia,MacGillivray's Warbler,Geothlypis tolmiei,0,0
amelia,Amelia,Magnificent Frigatebird,Fregata magnificens,0,0
amelia,Amelia,Magnolia Warbler,Setophaga magnolia,15,21
amelia,Amelia,Mallard,Anas platyrhynchos,26,65
amelia,Amelia,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,0,0
amelia,Amelia,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,0,0
amelia,Amelia,Mallard/American Black Duck,Anas platyrhynchos/rubripes,0,0
amelia,Amelia,Mallard/Mottled Duck,Anas platyrhynchos/fulvigula,0,0
amelia,Amelia,Mandarin Duck,Aix galericulata,0,0
amelia,Amelia,Manx Shearwater,Puffinus puffinus,0,0
amelia,Amelia,Marbled Godwit,Limosa fedoa,0,0
amelia,Amelia,Marsh Wren,Cistothorus palustris,0,0
amelia,Amelia,Masked Booby,Sula dactylatra,0,0
amelia,Amelia,Merlin,Falco columbarius,2,2
amelia,Amelia,Mexican Violetear,Colibri thalassinus,0,0
